Строка,Отрасль,Среднее,Станд.откл,Коэфф.вариации(%),Кол-во_листов
Оплата труда,Здравоохранение и социальное обслуживание населения,0.6159383391309667,0.013342438198910529,2.1661970608511725,7
Оплата труда,Предоставление прочих видов услуг,0.7096178897841535,0.03232165061802318,4.5547964733322255,7
Оплата труда,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,0.7353279268868806,0.009292083612760271,1.263665267290973,7
Оплата труда,Государственное управление и оборона; обязательное социальное обеспечение,0.5708947375120016,0.007294895103232399,1.2778003761295913,7
Оплата труда,"Сельское, лесное и рыбное хозяйство",0.751732445330223,0.01398198718072753,1.8599685656225051,7
Оплата труда,Строительство,0.6728253993620479,0.02296850963622194,3.4137399774146413,7
Оплата труда,"Профессиональная, научная и техническая деятельность",0.6039170041832971,0.02563986982422966,4.2455949487468985,7
Оплата труда,"Искусство, развлечения и отдых",0.6370910228024279,0.020228902777876687,3.175198214047036,7
Оплата труда,Финансовая и страховая деятельность,0.7187811312651016,0.013645097313320767,1.8983660978001062,7
Оплата труда,Информация и связь,0.6565338459115929,0.012442346511122795,1.8951569044923615,7
Оплата труда,Операции с недвижимым имуществом,0.9449670269923367,0.007173255717021646,0.7591011656621346,7
Оплата труда,Транспорт и складирование,0.7643745290983696,0.017955862299609066,2.3490921813929613,7
Оплата труда,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",0.6121968942352177,0.027600895999555536,4.508499840404409,7
Оплата труда,Услуги по проживанию и питанию,0.7079382536908161,0.040704404080145015,5.7497110613720555,7
Оплата труда,Деятельность в области административного и вспомогательного обслуживания,0.6454434502439159,0.0042409267872127124,0.6570562898438349,7
Оплата труда,"Электроснабжение, подача газа, пара и воздушное кондиционирование",0.639130528662881,0.009726693032825182,1.521863312205459,7
Оплата труда,Образование,0.5889312111826432,0.009291954720670006,1.577765712571196,7
Оплата труда,Обрабатывающая промышленность,0.563765179004964,0.005633831169137453,0.9993223027858992,7
Другие налоги на производство,Горнодобывающая промышленность и разработка карьеров,0.04207411805752787,0.006818297873682739,16.205444554678703,7
Другие налоги на производство,Здравоохранение и социальное обслуживание населения,0.004590787553341564,0.003058139578897546,66.61470484887877,7
Другие налоги на производство,Предоставление прочих видов услуг,0.0011571902633388533,0.0005893024979144428,50.925290039524015,7
Другие налоги на производство,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,0.0007607271968708278,0.0003687096478726915,48.46805127900518,7
Другие налоги на производство,Государственное управление и оборона; обязательное социальное обеспечение,0.0,0.0,,7
Другие налоги на производство,"Сельское, лесное и рыбное хозяйство",0.08933938480778801,0.011857660116754936,13.272601039582337,7
Другие налоги на производство,Строительство,0.033833696083685146,0.04588356121697075,135.61498307332772,7
Другие налоги на производство,"Профессиональная, научная и техническая деятельность",0.19921285612205156,0.053555607347789067,26.883610019113025,7
Другие налоги на производство,"Искусство, развлечения и отдых",0.04455060944515512,0.03418425074877516,76.73127522724091,7
Другие налоги на производство,Финансовая и страховая деятельность,0.022954237919533903,0.0026914188425674365,11.725150065980005,7
Другие налоги на производство,Информация и связь,0.10354845227213048,0.009383601454919677,9.062039314947079,7
Другие налоги на производство,Операции с недвижимым имуществом,0.005819466365726507,0.0017780080007004835,30.55276702296939,7
Другие налоги на производство,Транспорт и складирование,0.03170002918557074,0.007989116041932736,25.202235604152794,7
Другие налоги на производство,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",0.039228366350469834,0.01055116326184821,26.89676946417586,7
Другие налоги на производство,Услуги по проживанию и питанию,0.025899481874817828,0.0634405151957651,244.9489742783178,7
Другие налоги на производство,Деятельность в области административного и вспомогательного обслуживания,0.08213753716576144,0.009299482434033455,11.321842308549142,7
Другие налоги на производство,"Электроснабжение, подача газа, пара и воздушное кондиционирование",0.04488142767410065,0.008183029988235172,18.2325527780777,7
Другие налоги на производство,Образование,0.011566781161909973,0.006575646412318766,56.84940624598933,7
Другие налоги на производство,Обрабатывающая промышленность,0.3744445320558167,0.009198334329028649,2.4565278810527524,7
Потребление основного капитала,Горнодобывающая промышленность и разработка карьеров,,,,7
Потребление основного капитала,Здравоохранение и социальное обслуживание населения,,,,7
Потребление основного капитала,Предоставление прочих видов услуг,,,,7
Потребление основного капитала,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,,,,7
Потребление основного капитала,Государственное управление и оборона; обязательное социальное обеспечение,,,,7
Потребление основного капитала,"Сельское, лесное и рыбное хозяйство",,,,7
Потребление основного капитала,Строительство,,,,7
Потребление основного капитала,"Профессиональная, научная и техническая деятельность",,,,7
Потребление основного капитала,"Искусство, развлечения и отдых",,,,7
Потребление основного капитала,Финансовая и страховая деятельность,,,,7
Потребление основного капитала,Информация и связь,,,,7
Потребление основного капитала,Операции с недвижимым имуществом,,,,7
Потребление основного капитала,Транспорт и складирование,,,,7
Потребление основного капитала,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",,,,7
Потребление основного капитала,Услуги по проживанию и питанию,,,,7
Потребление основного капитала,Деятельность в области административного и вспомогательного обслуживания,,,,7
Потребление основного капитала,"Электроснабжение, подача газа, пара и воздушное кондиционирование",,,,7
Потребление основного капитала,Образование,,,,7
Потребление основного капитала,Обрабатывающая промышленность,,,,7
"Прибыль, смешанный доход",Горнодобывающая промышленность и разработка карьеров,,,,7
"Прибыль, смешанный доход",Здравоохранение и социальное обслуживание населения,,,,7
"Прибыль, смешанный доход",Предоставление прочих видов услуг,,,,7
"Прибыль, смешанный доход",Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,,,,7
"Прибыль, смешанный доход",Государственное управление и оборона; обязательное социальное обеспечение,,,,7
